"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"z:\Programming\football-app\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"z:\Programming\football-app\package-lock.json", "JSON", 31659, 0, 0, 0, 0, 0, 1, 31660
"z:\Programming\football-app\package.json", "JSON", 54, 0, 0, 0, 0, 0, 1, 55
"z:\Programming\football-app\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"z:\Programming\football-app\public\index.html", "HTML", 0, 0, 0, 20, 0, 23, 1, 44
"z:\Programming\football-app\src\App.css", "CSS", 0, 0, 0, 0, 98, 0, 14, 112
"z:\Programming\football-app\src\App.js", "JavaScript", 0, 59, 0, 0, 0, 0, 8, 67
"z:\Programming\football-app\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"z:\Programming\football-app\src\Components\CoachFilterSideBar.js", "JavaScript", 0, 47, 0, 0, 0, 0, 4, 51
"z:\Programming\football-app\src\Components\CoachModal.js", "JavaScript", 0, 155, 0, 0, 0, 2, 17, 174
"z:\Programming\football-app\src\Components\CoachesCard.js", "JavaScript", 0, 74, 0, 0, 0, 0, 9, 83
"z:\Programming\football-app\src\Components\InputStyle.css", "CSS", 0, 0, 0, 0, 131, 0, 5, 136
"z:\Programming\football-app\src\Components\NavBar.js", "JavaScript", 0, 49, 0, 0, 0, 0, 3, 52
"z:\Programming\football-app\src\Components\PlayerFilterSideBar.js", "JavaScript", 0, 53, 0, 0, 0, 0, 4, 57
"z:\Programming\football-app\src\Components\PlayerModal.js", "JavaScript", 0, 422, 0, 0, 0, 2, 32, 456
"z:\Programming\football-app\src\Components\PlayersCard.js", "JavaScript", 0, 78, 0, 0, 0, 0, 9, 87
"z:\Programming\football-app\src\Components\ScrollBar.css", "CSS", 0, 0, 0, 0, 21, 0, 4, 25
"z:\Programming\football-app\src\Components\TeamFilterSideBar.js", "JavaScript", 0, 48, 0, 0, 0, 0, 6, 54
"z:\Programming\football-app\src\Components\TeamModal.js", "JavaScript", 0, 246, 0, 0, 0, 2, 22, 270
"z:\Programming\football-app\src\Components\TeamsCard.js", "JavaScript", 0, 78, 0, 0, 0, 0, 9, 87
"z:\Programming\football-app\src\Pages\AddCoachForm.js", "JavaScript", 0, 134, 0, 0, 0, 0, 5, 139
"z:\Programming\football-app\src\Pages\AddPlayerForm.js", "JavaScript", 0, 148, 0, 0, 0, 0, 7, 155
"z:\Programming\football-app\src\Pages\AddTeamForm.js", "JavaScript", 0, 150, 0, 0, 0, 0, 6, 156
"z:\Programming\football-app\src\Pages\CoachControl.js", "JavaScript", 0, 92, 0, 0, 0, 0, 3, 95
"z:\Programming\football-app\src\Pages\Coaches.js", "JavaScript", 0, 59, 0, 0, 0, 0, 3, 62
"z:\Programming\football-app\src\Pages\Dashboard.js", "JavaScript", 0, 55, 0, 0, 0, 0, 2, 57
"z:\Programming\football-app\src\Pages\DashboardLogIn.js", "JavaScript", 0, 79, 0, 0, 0, 0, 4, 83
"z:\Programming\football-app\src\Pages\EditCoach.js", "JavaScript", 0, 133, 0, 0, 0, 0, 5, 138
"z:\Programming\football-app\src\Pages\EditPlayer.js", "JavaScript", 0, 133, 0, 0, 0, 0, 5, 138
"z:\Programming\football-app\src\Pages\EditTeam.js", "JavaScript", 0, 203, 0, 0, 0, 0, 5, 208
"z:\Programming\football-app\src\Pages\Home.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"z:\Programming\football-app\src\Pages\PlayerControl.js", "JavaScript", 0, 92, 0, 0, 0, 0, 5, 97
"z:\Programming\football-app\src\Pages\Players.js", "JavaScript", 0, 60, 0, 0, 0, 0, 3, 63
"z:\Programming\football-app\src\Pages\TeamControl.js", "JavaScript", 0, 98, 0, 0, 0, 0, 5, 103
"z:\Programming\football-app\src\Pages\TeamPage.js", "JavaScript", 0, 406, 0, 0, 0, 2, 25, 433
"z:\Programming\football-app\src\Pages\Teams.js", "JavaScript", 0, 62, 0, 0, 0, 0, 5, 67
"z:\Programming\football-app\src\Redux\CoachSearchActions.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 21
"z:\Programming\football-app\src\Redux\Coaches\CoachesActions.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"z:\Programming\football-app\src\Redux\PlayerSearchAction.js", "JavaScript", 0, 23, 0, 0, 0, 0, 2, 25
"z:\Programming\football-app\src\Redux\Players\PlayersActions.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"z:\Programming\football-app\src\Redux\Reducer.js", "JavaScript", 0, 765, 0, 0, 0, 0, 11, 776
"z:\Programming\football-app\src\Redux\TeamSearchActions.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 21
"z:\Programming\football-app\src\Redux\Teams\TeamsActions.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"z:\Programming\football-app\src\Redux\constants.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 13
"z:\Programming\football-app\src\index.css", "CSS", 0, 0, 0, 0, 3, 0, 1, 4
"z:\Programming\football-app\src\index.js", "JavaScript", 0, 25, 0, 0, 0, 3, 6, 34
"z:\Programming\football-app\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"z:\Programming\football-app\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"z:\Programming\football-app\tailwind.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"Total", "-", 31713, 4139, 38, 20, 253, 38, 310, 36511
